,Title,Author,Abstract
27,Hydrologic connectivity driven natural stream fish assemblages in mountain streams in the Yangtze River basin: implications for stream fish conservation in monsoonal East Asia,"He, DK","The East Asian monsoon and related seasonal rain belts are assumed to be significantly variable at intraseasonal, interannual, and interdecadal time scales, and largely determine the hydrology and ecological processes of the streams and rivers in this region. This study investigated the spatiotemporal variation in fish assemblages and the relative importance of local habitat and regional landscape variables in two protected streams in the middle Yangtze River basin. We hypothesized that the stream fish assemblages in this area are strongly influenced by the monsoon climate, and display a spatiotemporal variation in response to changes of stream flow regimes and physical habitats. The results show that species richness and abundance varied with both season and stream size. The distance to the downstream confluence site was the top important environmental factor, followed by altitude and downstream link. The results suggest that the fish assemblages within this protected watershed are mainly affected by regional landscape variables such as longitudinal position and stream position, but less by local habitat variables including water temperature and habitat types. The study highlights the importance of tributary connectivity and continuity to stream fish diversity in this area, indicating that restoration activities should preferentially recover the connectivity between upstream and downstream.Show less"
28,Biodiversity of floodplain river ecosystems: Ecotones and connectivity,"Ward, JV","A high level of spatio-temporal heterogeneity makes riverine floodplains among the most species-rich environments known. Fluvial dynamics from flooding pray a major role in maintaining a diversity of lentic, lotic and semi-aquatic habitat types, each represented by a diversity of successional stages. Ecotones (transition zones between adjacent patches) and connectivity (the strength of interactions across ecotones) are structural and functional elements that result from and contribute to the spatio-temporal dynamics of riverine ecosystems. In floodplain rivers, ecotones and their adjoining patches are arrayed in hierarchical series across a range of scales. At a coarse scale of resolution, fringing floodplains are themselves complex ecotones between river channels and uplands. At finer scales, patches of various types and sizes form habitat and microhabitat diversity patterns. A broad spatio-temporal perspective, including patterns and processes across scales, is needed in order to gain insight into riverine biodiversity. We propose a hierarchical framework for examining diversity patterns in floodplain rivers.Various river management schemes disrupt the interactions that structure ecotones and alter the connectivity across transition zones. Such disruptions occur both within and between hierarchical levels, invariably leading to reductions in biodiversity. Species richness data from the connected and disconnected floodplains of the Austrian Danube illustrate this clearly. In much of the world, species-rich riverine/floodplain environments exist only as isolated fragments across the landscape. In many large rivers, these islands of biodiversity are endangered ecosystems. The fluvial dynamics that formed them have been severely altered. Without ecologically sound restoration of disturbance regimes and connectivity, these remnants of biodiversity will proceed on unidirectional trajectories toward senescence, without rejuvenation. Principles of ecosystem management are necessary to sustain biodiversity in fragmented riverine floodplains. Copyright (C) 1999 John Wiley & Sons, Ltd.Show less"
29,Constraints on recovery: using molecular methods to study connectivity of aquatic biota in rivers and streams,"Hughes, JM","1. The 'Field of Dreams Hypothesis' states 'if we build it, they will come', referring to the assumption that if habitats are restored, species will recolonise them. However, the ability of a species to recolonise a restored site will depend not only on the appropriate habitat being present, but also on the ability to get there. This is likely to depend on both the species' dispersal behaviour and the position of a site in the landscape.2. Animals with good potential for dispersal are more likely to be able to disperse to newly restored sites. Similarly, sites in lowland streams with limited altitudinal differences between sites may be easier to reach than upstream sites. This is because upstream sites are connected to one another via lowland streams that have different characteristics and therefore may be difficult for animals to traverse.3. In this paper, genetic data from a range of freshwater species that have been analysed in my laboratory are used to assess the importance of life cycle and position in the landscape (i.e. upland versus lowland streams) on connectivity patterns (and thus recolonisation potential) among populations.4. In general, contemporary dispersal across catchment boundaries is negligible, except for aquatic insects with an adult flight stage. Dispersal among streams within catchments appears to be more limited than was predicted from knowledge on life histories, except for fish in lowland rivers and streams.5. As predicted, dispersal of fish, crustaceans and molluscs among streams within catchments is significantly greater in lowland rivers than in upland streams.6. Overall, these analyses suggest that, with the exception of most insects, and fishes in lowland rivers, natural recolonisation of restored sites is only likely from sites within the same stream. If a species has disappeared from the whole stream, then restoration of habitat alone may not be sufficient for its re-establishment.Show less"
30,ELECTRICAL RESISTANCE SENSOR ARRAYS AS A MEANS TO QUANTIFY LONGITUDINAL CONNECTIVITY OF RIVERS,"Jaeger, KL","Electrical resistance sensors are used as a novel approach to quantify streamflow continuity (continuous through time) and longitudinal connectivity (continuous through space) across watersheds in south-eastern Arizona, USA. We demonstrate this approach by reporting on a spatial array of 21 sensors installed in streams supporting naturally perennial, intermittent and ephemeral flow on the US Army Garrison, Fort Huachuca. Continuity and connectivity were quantified based on a strict interpretation of continuous flow at an individual sensor (strict continuity) or simultaneous streamflow at multiple sensors (strict connectivity). In addition, we evaluated continuity and connectivity to include periods (<48?h) when in-channel refuges may exist between streamflow events (refuge-maintained continuity and connectivity). Continuous streamflow in intermittent reaches accounted for 34% of the 121-day monitoring period (15 April13 August 2010) and 28% of the summer monsoon period (1 July13 August 2010). Streamflow in ephemeral reaches accounted for 1.5% and 2.3% of the entire monitoring and monsoon period, respectively. Canyon-wide longitudinal connectivity was rare (<1%); however, substantial longitudinal connection occurred along extensive portions of individual canyons. The refuge-maintained criteria increased continuity 28%, with less influence on connectivity (e.g. <3% increase in only some portions of canyons). Despite this result, the refuge-maintained concept remains important because of its broad applicability to refuge persistence across aquatic species and hydro-climatic regimes. The approach presented in this study supports the growing scientific research on the influence of longitudinal hydrologic connectivity on population dynamics and ecological processes in dendritic river networks. Copyright (c) 2011 John Wiley & Sons, Ltd.Show less"
31,Distribution patterns of macroinvertebrate communities in a Chinese floodgate-regulated river and their relationships with river longitudinal connectivity,"Chi, SY","In this study, the Li River and the middle-lower reaches of the Shaying River in the Shaying River basin were selected for an investigation on the effects of floodgates on macroinvertebrate communities; additionally, the relationships among floodgates, macroinvertebrate communities and river longitudinal connectivity were explored. The Li and Shaying rivers had similar ratios of molluscs and saapers, but their species compositions were significantly different. The water level fluctuations in the Li River were based on natural hydrological characteristics, and these were very different from the fluctuations in the reaches of the Shaying River that were divided by a serious of floodgates. The effects of floodgates resulted in a reduction in the number of taxa, Shannon-Wiener index, Margalef index, and Fisher index and an increase in the Harrison index. The upper reaches of the Li and Saying rivers had similar macroinvertebrate communities, but these were very different from the lower reaches of the Saying River. The total number of species and the number of aquatic insect species increased with the river connectivity gradient and the variations in the alpha-diversity and beta-diversity indices along reaches confirmed the hypothesis that the longitudinal connectivity of the Shaying River was significantly affected by floodgates. The results of Pearson and PLS tests showed that some plankton variables and physical water parameters could possibly describe how the gradient of river longitudinal connectivity was related to the floodgates in the Shaying River basin. The results of partial correlations showed, even when excluding the effects of water pollution, the protozoa richness and electrical conductivity still had significant influences on the distribution patterns of macroinvertebrate communities. When considering the results of correlation analyses and regression together, these same variables could be used to describe how the gradient of river longitudinal hydrological connectivity is related to floodgates in future studies. (C) 2018 Elsevier B.V. All rights reserved.Show less"
32,River system connectivity analysis of Wuxi's central urban area based on graph theory,"Wang, LY",
33,Barrier-based Longitudinal Connectivity Index for Managing Urban Rivers,"Li, HY","A large variety of barriers can affect longitudinal connectivity, which leads to shipping blocking and even flood hazard. However, few existing methods can quantify physically the river channel connectivity from the barrier's details perspective in a watershed. This paper establishes a new model of the River Channel Connectivity Index (RCCI) to quantify the unobstructed degree of river flow in river channels within geographic information system (GIS ) platforms based on the modified concept of time accessibility. A comprehensive classification system of barriers is setup before these barriers are identified by the remote sensing technology. The model is applied to Dashi Watershed in suburban Beijing, China. Results show that submersible bridges and sediment siltation are the main barriers in the watershed. RCCI values in the mountainous areas are generally higher than that of the plains. The assessment results verified by two historical flood events show that the RCCI can reveal where the river channel connectivity is impaired, how serious it is, and what the reason is for managers. Through scenarios' results, the best restoration measure for each tributary is obtained from the perspective of reducing flood hazards. The new RCCI method not only has methodological significance, but also helps policymakers to enhance river flooding reduction and determine restoration priorities of the river channel.Show less"
34,Towards the assessment of sediment connectivity in a large Himalayan river basin,"Mishra, K","Sediment connectivity, defined as the degree of linkage between the sediment sources to downstream areas, is one of the most important properties that control landscape evolution in river basins. The degree of linkages amongst different parts of a catchment depends mainly on the hinterland characteristics (e.g. catchment morphology, slope, shape, relief, and elevation), channel characteristics (e.g. slope, stream network density, valley confinement), and the combined effects of vegetation (e.g. land use changes and land abandonment). This paper evaluates the sediment connectivity of the upper Kosi basin covering an area of similar to 52,731 km(2) including Tibet and Nepal at different spatial scales. We have computed the index of connectivity (IC) using the equations originally proposed by Borselli et al. (2008) andmodified by Cavalli et al. (2013) to evaluate the potential connection of sediment source areas to the primary channel network as well to the catchment outlet. Our results highlight significant spatial variability in sediment connectivity across the basin and provide important insights on structural sediment dynamics in a complex geological and geomorphological setting. We compare our results with the observed sediment load data at certain outlets and demonstrate that sediment flux in different subbasins is controlled by variable slope distribution and land use and land cover that are strongly related to the structural connectivity. We argue that IC model can be extremely beneficial to understand sediment dynamics at catchment scale in a large river basin (similar to 10(3)-10(4) km(2) scale), where systematic field investigations for mapping hillslope-channel linkages are not feasible. (C) 2019 The Authors. Published by Elsevier B.V.Show less"
35,Featured Collection Introduction: Connectivity of Streams and Wetlands to Downstream Waters,"Alexander, LC","Connectivity is a fundamental but highly dynamic property of watersheds. Variability in the types and degrees of aquatic ecosystem connectivity presents challenges for researchers and managers seeking to accurately quantify its effects on critical hydrologic, biogeochemical, and biological processes. However, protecting natural gradients of connectivity is key to protecting the range of ecosystem services that aquatic ecosystems provide. In this featured collection, we review the available evidence on connections and functions by which streams and wetlands affect the integrity of downstream waters such as large rivers, lakes, reservoirs, and estuaries. The reviews in this collection focus on the types of waters whose protections under the U.S. Clean Water Act have been called into question by U.S. Supreme Court cases. We synthesize 40+ years of research on longitudinal, lateral, and vertical fluxes of energy, material, and biota between aquatic ecosystems included within the Act's frame of reference. Many questions about the roles of streams and wetlands in sustaining downstream water integrity can be answered from currently available literature, and emerging research is rapidly closing data gaps with exciting new insights into aquatic connectivity and function at local, watershed, and regional scales. Synthesis of foundational and emerging research is needed to support science-based efforts to provide safe, reliable sources of fresh water for present and future generations.Show less"
36,Impact of changes in river network structure on hydrological connectivity of watersheds,"Xingyuan, Z","River network connectivity is a key factor affecting watershed ecosystems and an important criterion for evaluating the health of river. The river network structure of the basin has changed dramatically in recent years due to human activity, but the response of connectivity to changes in physical structure is still poorly understood. In this paper, a dynamic index (connectivity index) based on daily-scale flow and probability density function is proposed to characterize the connectivity capacity of river networks. The Haihe River basin in China is selected as the study area, and a graphic model is constructed to assess the evolutionary structure of the river network. The 54 sections were classified into Low human impact (LHI) and High human impact (HHI), and the trends and causes of connectivity changes of the sections with the evolution of the network were analyzed. The results reveal that the river network degree and clustering coefficient keep increasing, the path length decreases and becomes more dense downstream, and the river network gradually evolves into a ""small-world"" network. The ""smallworld"" characteristics improve the potential efficiency and specific functionality of the river network, but make the physical structure mismatch with the hydraulic gradient, and the network flow disperses severely, leading to a significant decrease in connectivity (HHI connectivity index is lower than LHI 52.1%). Moreover, the structural changes enhance the spatial and temporal differences in hydrological connectivity, which further restricts the function of the river system. ""Small-world"" and connectivity indicators (duration, start time, and intermittency) show strong correlations. Therefore, physical structure is an important factor influencing connectivity capacity of river networks. The planning and management of the watershed should consider the changes in hydrological connectivity caused by the structural modifications of the river network.Show less"
37,High-resolution spatiotemporal analysis of hydrologic connectivity in the historical floodplain of straightened lowland agricultural streams,"Marchand, JP","In agricultural watersheds, human interventions such as channel straightening have disrupted the hydrologic connectivity between headwater streams and their riparian environment and have thus undermined the ecological services provided by these small streams. Knowledge of the hydrologic connectivity between these streams and their immediate environment (shallow riparian groundwater in the historical floodplain and on adjacent hillslopes) in human-impacted settings is critical for understanding and restoring these hydrological systems but remains largely incomplete. The objective of this research is to investigate the hydrogeomorphological conditions controlling hydrologic connectivity in the historical floodplain of straightened lowland streams. Detailed measurements on the spatiotemporal variability of groundwater-surface water interactions between straightened reaches, historical floodplain including abandoned meanders, and the adjacent hillslopes were obtained using a dense network of piezometers at two sites in the St. Lawrence Lowlands (Quebec, Canada). Results show that the complex mechanisms controlling hydrologic connectivity in naturally meandering lowland rivers also operate in highly disturbed straightened reaches, despite backfilling and agricultural practices. The pre-straightening hydrogeomorphological configuration of the floodplain partly explains the complex patterns of piezometric fluctuations observed at the sites. The apex of the abandoned meanders stands out as a focal area of hydrologic connectivity as water levels indicate pressure transfer that may reflect flows from the stream, the hillslopes, and the surrounding historical floodplain. These unique field observations suggest that abandoned meanders should be promoted as key elements of restoration strategies in lowland agricultural straightened headwater streams.Show less"
38,Dynamics of Surface-Water Connectivity in a Low-Gradient Meandering River Floodplain,"Czuba, JA","High-resolution topography reveals that floodplains along meandering rivers in Indiana commonly contain intermittently flowing channel networks. We investigated how the presence of floodplain channels affects lateral surface-water connectivity between a river and floodplain (specifically exchange flux and timescales of transport) as a function of flow stage in a low-gradient river-floodplain system. We constructed a two-dimensional, surface-water hydrodynamic model using Hydrologic Engineering Center's River Analysis System (HEC-RAS) 2D along 32km of floodplain (56km along the river) of the East Fork White River near Seymour, Indiana, USA, using lidar elevation data and surveyed river bathymetry. The model was calibrated using land-cover specific roughness to elevation-discharge data from a U.S. Geological Survey gage and validated against high-water marks, an aerial photo showing the spatial extent of floodplain inundation, and measured flow velocities. Using the model results, we analyzed the flow in the river, spatial patterns of inundation, flow pathways, river-floodplain exchange, and water residence time on the floodplain. Our results highlight that bankfull flow is an oversimplified concept for explaining river-floodplain connectivity because some stream banks are overtopped and major low-lying floodplain channels are inundated roughly 19days per year. As flow increased, inundation of floodplain channels at higher elevations dissected the floodplain, until the floodplain channels became fully inundated. Additionally, we found that river-floodplain exchange was driven by bank height or channel orientation depending on flow conditions. We propose a conceptual model of river-floodplain connectivity dynamics and developed metrics to analyze quantitatively complex river-floodplain systems.Show less"
39,Hyporheic rehabilitation in rivers: restoring vertical connectivity,"Boulton, AJ","1. The hyporheic zone below the channel and banks of many rivers where surface water and ground water exchanges plays a crucial functional role in the biogeochemical transformation of water, mediated by active microbial biofilms. This zone also harbours assemblages of invertebrates that graze biofilms, contribute to secondary production, and can alter the porosity of the hyporheic zone through their movement or burrowing activities.2. Many human activities cause interstitial sedimentation or disrupt surface-groundwater hydrological linkages, impacting upon ecological processes in the hyporheic zone. However, strategies for river rehabilitation seldom explicitly consider the hyporheic zone or seek to restore lost vertical linkages with groundwater. Instead, restoration goals target surface, riparian or floodplain features even though current river ecosystem theory emphasises the three dimensions of hydrological connectivity. To guide effective, holistic river restoration, scientists and managers therefore need information on the mechanisms by which energy and material are transferred in the hyporheic zone and which ecosystem services are thus provided.3. Other gaps in our understanding of hyporheic zone rehabilitation include recruitment processes of the hyporheos and the relative importance of groups of hyporheic invertebrates in rivers differing in substratum size, disturbance frequency and groundwater linkages. Carefully designed experiments that assess responses to hyporheic rehabilitation strategies will provide valuable data at varying scales (e.g. distribution of hyporheic habitat types at the reach scale) for management as well as providing insights into the mechanisms controlling hyporheic invertebrate assemblages and ecological processes. Fully successful river rehabilitation must include restoration of vertical linkages between the river and its shallow groundwater aquifers.Show less"
40,Temporal Patterns of Methane Emissions From Two Streams With Different Riparian Connectivity,"Leng, PF","Streams are regionally important sources of CH4 to the atmosphere, but the temporal variability in and control on CH4 concentrations and emissions are not well understood. Especially, lack of long-term data hampers our ability to predict CH4 emissions from streams. Here, we present a 7-year data set of biweekly CH4 concentration and underlying potential drivers from two adjacent small German streams with contrasting riparian area characteristics. Over the 7-year study period, mean CH4 concentration and emissions were 0.20 and 0.07 mu mol L-1 and 2.01 and 0.84 mmol m(-2) d(-1) for the two streams, respectively. Our findings suggest that the combination of seasonality and topography ultimately shaped the considerable temporal variations of CH4. CH4 oxidation and production in the streams were probably of minor importance. Instead, fluctuations in CH4 concentrations likely reflected a temporal pattern of CH4 input from soils of the riparian zone with larger CH4 variations in the stream with more riparian lands. Structural equation modeling revealed dissolved organic carbon and nitrate as important predictors of CH4 concentration. However, we did not identify predictors of the considerable short-term variability, nor the explicit pathways of CH4 delivery to streams. The discrepancy of the CH4 flux between streams was likely triggered by different connectivities to riparian soils with higher CH4 emissions in the hydrologically more connected stream. Interannual comparison showed that changing hydrologic conditions, rather than warming, may impact future CH4 emissions from temperate streams. We predict that higher CH4 emissions occur in wetter years in streams with close connectivity to riparian soils.Show less"
41,A model to evaluate spatiotemporal variations of hydrological connectivity on a basin-scale complex river network with intensive human activity,"Shao, XJ","In recent decades, rivers have been among the most gravely disturbed ecosystems due to intense anthropogenic impacts. Accurate spatial evaluation of river network connectivity is necessary for providing an improved empirical basis for management, conservation, and restoration initiatives. In this study, we focused on the stream continuity-oriented hydrological connectivity of the river network ecosystem. An evaluation model was established using spatiotemporal hydrological data, temporal data on dam development, and a new stream continuity-oriented connectivity index (SCI). The Pearl River basin was selected as the study area to demonstrate the model application using data since 1960. The model showed that the SCI values had significantly and steadily decreasing characteristics in the entire basin from 1960 to 2018, with a total decrease during this period of 26% throughout the river network. The connectivity of the river network declined as the number of dams increased, and dams built on main trunks had a larger impact on the connectivity than those on tributaries. These model results can help government regulators identify the worst connected areas of the river network and take effective measures to reduce the impact of human interferences. Thus, the model can provide practical guidance and support to the conservation, management, and restoration of the river ecosystem. (C) 2020 Elsevier B.V. All rights reserved.Show less"
42,Introducing 'riverconn': an R package to assess river connectivity indices,"Baldan, D","Fragmentation affects river ecosystems worldwide by dampening the movement and dispersal of aquatic organisms and material (such as sediment, water, nutrients) across the river network. In this paper, we develop river connectivity indices to explain biodiversity patterns, prioritize reaches that need habitat restoration and barriers that need improvement. We provide a general framework for calculating connectivity indices by dis-entangling the contribution of the river network's physical setup (structural connectivity) from the process-driven and biota-related contribution (functional connectivity). To facilitate the calculations, the R package 'riverconn' is introduced. A prioritization of habitats and barriers is carried out for the Ebro river (North-West Iberian Peninsula) using indices setups accounting for different classes of organisms and dispersal traits. Resulting prioritizations are very diverse. 'Riverconn' can support scientists and managers working on riverscape planning and population and community ecology by providing a means to compute and compare a wide array of fragmentation indices.Show less"
43,A hydrologic connectivity index for jurisdictional analysis of headwater streams in a montane watershed,"Caruso, BS","A hydrologic connectivity index (HCI) was developed to aid the US Clean Water Act Section 404 jurisdictional evaluation of headwater streams in montane watersheds, using the Cement Creek Watershed in the San Juan Mountains, Colorado as a case study. Jurisdictional determinations are required for many intermittent and ephemeral streams, where significant nexus with downstream traditional navigable waters (TNWs) must be evaluated. Three biophysical metrics (a streamflow metric, distance from the stream to the TNW, and slope between the stream and the TNW) for 239 streams in the watershed were used to develop three indices. These were then combined to develop the HCI, which is a compound, additive index. There was a large range of HCI values for ephemeral streams, which all require a significant nexus evaluation to determine jurisdiction. Statistical analysis of HCI values across stream duration and order classes showed that mean values differed significantly among classes. The flow index component constituted the greatest proportion of the HCI for perennial streams, was sensitive to the flow metrics used, and was greatest for high flows. Although ephemeral streams are only connected to the TNW less than 3 months of the year, the cumulative average annual flow contribution of ephemeral first-order streams can be 5 % of the total to the TNW, and their flow contribution is larger during high flows. Some ephemeral streams with high HCI values are farthest from the TNW but contribute the greatest flow out of all ephemeral reaches, and may have significant nexus with the river. The study shows that the HCI can be useful for initial evaluation of connectivity, significant nexus, and jurisdiction of headwaters at the watershed scale.Show less"
44,Conceptual assessment of (dis)connectivity and its application to the Ganga River dispersal system,"Jain, V","Connectivity in river dispersal systems is an important evolving concept and helps in understanding their dynamics. In this study, the types of connectivity have been defined on the basis of two components, namely ""physical contact"" and ""transfer of material."" Based on this, four types of connectivity are recognized. These are (a) active connected system, (b) inactive connected system, (c) partially active connected system, and (d) disconnected system. Connectivity indices have been proposed based on the process understanding of different types of connectivity. This conceptual understanding of connectivity has been applied to the Ganga dispersal system, a large river system. Results of the connectivity analysis on the Ganga dispersal system reveal that different sets of data such as sediment budgets, geochemical isotopic data and radiogenic (U-238-U-234-Th-230) data are noncoherent. Therefore, developing rigorous and well constrained quantitative multidisciplinary data sets is needed to have a better understanding of connectivity at multiple spatiotemporal scales in large river dispersal systems; this would ultimately help model the dynamics of such systems. (C) 2010 Elsevier B.V. All rights reserved.Show less"
45,Process connectivity in a naturally prograding river delta,"Sendrowski, A","River deltas are lowland systems that can display high hydrological connectivity. This connectivity can be structural (morphological connections), functional (control of fluxes), and process connectivity (information flow from system drivers to sinks). In this work, we quantify hydrological process connectivity in Wax Lake Delta, coastal Louisiana, by analyzing couplings among external drivers (discharge, tides, and wind) and water levels recorded at five islands and one channel over summer 2014. We quantify process connections with information theory, a branch of mathematics concerned with the communication of information. We represent process connections as a network; variables serve as network nodes and couplings as network links describing the strength, direction, and time scale of information flow. Comparing process connections at long (105 days) and short (10 days) time scales, we show that tides exhibit daily synchronization with water level, with decreasing strength from downstream to upstream, and that tides transfer information as tides transition from spring to neap. Discharge synchronizes with water level and the time scale of its information transfer compares well to physical travel times through the system, computed with a hydrodynamic model. Information transfer and physical transport show similar spatial patterns, although information transfer time scales are larger than physical travel times. Wind events associated with water level setup lead to increased process connectivity with highly variable information transfer time scales. We discuss the information theory results in the context of the hydrologic behavior of the delta, the role of vegetation as a connector/disconnector on islands, and the applicability of process networks as tools for delta modeling results.Plain Language Summary Connectivity is an increasingly important concept in studying the complexity and evolution of landscapes. One aspect of connectivity often overlooked is process connectivity; the interaction between external drivers and system variables such as water level and sediment concentration. A better understanding of deltaic process connectivity would benefit numerical modelers in improving delta simulations. In this work, we apply information theory to directly quantify for the first time the connectivity between discharge, wind, and tides, and water level at five deltaic islands and one channel in Wax Lake Delta (WLD), a prograding delta in coastal Louisiana that is often cast as an analog of a river diversion system. The importance of deltaic islands as areas of increased biogeochemical processing make this analysis particularly relevant to better understand the hydrologic controls on islands. Our results highlight the multi-scale interactions between external drivers and deltaic water level. The role of wind events, tidal regime, and vegetation controls in process connectivity indicate the dynamic nature of deltaic systems. Couplings are characterized in terms of strength, direction, significance, and scale. Process connectivity is visualized as a process network; variables are network nodes and couplings are network links that depict significant information flow.Show less"
46,"Controls on morphological variability and role of stream power distribution pattern, Yamuna River, western India","Bawa, N","Understanding the controls on the morphological variability of river systems constitutes one of the fundamental questions in geomorphic investigation. Channel morphology is an important indicator of river processes and is of significance for mapping the hydrology-ecologic connectivity in a river system and for predicting the future trajectory of river health in response to external forcings. This paper documents the spatial morphological variability and its natural and anthropogenic controls for the Yamuna River, a major tributary of the Ganga River, India. The Yamuna River runs through a major urban centre i.e. Delhi National Capital Region. The Yamuna River was divided into eight geomorphically distinct reaches on the basis of the assemblages of geomorphic units and the association of landscape, valley and floodplain settings. The morphological variability was analysed through stream power distribution and sediment load data at various stations. Stream power distribution of the Yamuna River basin is characterised by a non-linear pattern that was used to distinguish (a) high energy 'natural' upstream reaches, (b) 'anthropogenically altered', low energy middle stream reaches, and (c) 'rejuvenated' downstream reaches again with higher stream power. The relationship between stream power and channel morphology in these reaches was integrated with sediment load data to define the maximum flow efficiency (MFE) as the threshold for geomorphic transition. This analysis supports the continuity of river processes and the significance of a holistic, basin-scale approach rather than isolated local scale analysis in river studies. (C) 2014 Elsevier B.V. All rights reserved.Show less"
47,Modelling hydrological connectivity of tropical floodplain wetlands via a combined natural and artificial stream network,"Karim, F","The ecological condition and biodiversity values of floodplain wetlands are highly dependent on the hydrological connectivity of wetlands to adjacent rivers. This paper describes a method for quantifying connectivity between floodplain wetlands and the main rivers in a wet tropical catchment of northern Australia. We used a one-dimensional hydrodynamic model to simulate time-varying water depths across the stream network (i.e. rivers, streams and man-made drains). The timing and duration of connectivity of seven wetlands (four natural and three artificial) with the two main rivers in the catchment were then calculated for different hydrological conditions. Location and areal extent of the wetlands and the stream network were identified using high-resolution laser altimetry, and these data formed key inputs to the hydrodynamic model. The model was calibrated using measured water depths and discharges across the floodplain. An algorithm was developed to identify contiguous water bodies at daily time steps, and this gave the temporal history of connection and disconnection between wetlands and the rivers. Simulation results show that connectivity of individual wetlands to both rivers varies from 26 to 365days during an average hydrological condition. Location, especially proximity to a main river, and wetland type (natural stream or artificial drain) were identified as key factors influencing these levels of connectivity. Some natural wetlands maintain connection with the river for most or all of the year, whereas the connectivity of some artificial wetlands varies from 26 to 36days according to their patterns of network connection to adjacent rivers - a result that has important implications for the accessibility of these types of wetland to aquatic biota. Using readily available river gauge data, we also show how connectivity modelling can be used to identify periods when connectivity has fallen below critical thresholds for fish movement. These connectivity patterns within the floodplain network are central to the setting of river flows that will meet environmental requirements for biota that use floodplain wetlands during their life history. Copyright (c) 2013 John Wiley & Sons, Ltd.Show less"
48,Benthic macroinvertebrate assemblages and macrohabitat connectivity in Mediterranean-climate streams of northern California,"Bonada, N","Drought leads to a loss of longitudinal and lateral hydrologic connectivity, which causes direct or indirect changes in stream ecosystem properties. Changes in macrohabitat availability from a riffle-pool sequence to isolated pools are among the most conspicuous consequences of connectivity loss. Macroinvertebrate assemblages were compared among 3 distinct stream macrohabitats (riffles [R], pools connected to riffles [Pc], disconnected pools [Pd]) of 19 Mediterranean-climate sites in northern California to examine the influence of loss of habitat resulting from drought disturbance. At the time of sampling, 10 sites were perennial and included R and Pc macrohabitats, whereas 9 sites were intermittent and included only Pd macrohabitats. Taxa richness was more variable in Pd, and taxa richness was significantly lower in Pd than in Pc but not R. These results suggested a decline in richness between Pc and Pd that might be associated with loss of connectivity. Lower Ephemeroptera, Plecoptera, and Trichoptera (EPT) richness relative to Odonata, Coleoptera, and Heteroptera (OCH) richness was observed for Pd than R and Pc macrohabitats. Family composition was more similar between R and Pc than between R or Pc and Pd macrohabitats. This similarity may be associated with greater connectivity between R and Pc macrohabitats. Correspondence analysis indicated that macroinvertebrate composition changed along a gradient from R to Pc and Pd that was related to a perennial-intermittent gradient across sites. High variability among macroinvertebrate assemblages in Pd could have been related to variability in the duration of intermittency. In cluster analysis, macroinvertebrate assemblages were grouped by macrohabitat first and then by site, suggesting that the macrohabitat filter had a greater influence on macroinvertebrate assemblages than did local site characteristics. Few taxa were found exclusively in Pc, and this macrohabitat shared numerous taxa with R and Pd, indicating that Pc may act as a bridge between R and Pd during drought. Drought is regarded as a ramp disturbance, but our results suggest that the response of macroinvertebrate assemblages to the loss of hydrological connectivity among macrohabitats is gradual, at least in Mediterranean-climate streams where drying is gradual. However, the changes may be more dramatic in and and semiarid streams or in Mediterranean-climate streams if drying is rapid.Show less"
49,A dynamic connectivity metric for complex river wetlands,"Nguyen, C","Surface water connectivity between rivers and floodplain lakes is essential to maintain biodiversity and ecological functioning in floodplain wetlands. This study proposes a method to analyze the spatial and temporal connectivity using hydraulic modeling and freely available remote sensing data. A novel dynamic connectivity metric introduced here accounts for the entire flow path, which can be a substitute for flow connectivity indicators and statistical connectivity indicators. The metric allows comparing the hydrological connectivity between different phases of a flood event, between different flood events, and potentially between different catchments. The method was applied to the Northern Lakes of the Narran River catchment in New South Wales, Australia. The results indicate that there is no clear transition in the connectivity between different stages of a flood event in the flat Narran River wetland compared with other wetlands connecting to deeper river channels. Thus, the proposed metric brings a more comprehensive observation on hydrological connectivity in floodplain wetlands than previously developed metrics, which is expected to further support ecological and water management studies in river catchments.Show less"
